Year;Station;Pairnr;Treatment;Vegetation.height;Litter.depth;Bare.soil;Rock;Grass;Area.for.growth.m2;Taxa_S;Individuals;Dominance_D;Simpson_1-D;Shannon_H;Evenness_e^H/S;Brillouin;Menhinick;Margalef;Equitability_J;Fisher_alpha;Berger-Parker;Chao-1;iChao-1;ACE;Squares
Year 2;Norra Valbo;9;Milled;5;0,5;6;3;2;0,22;10;83;0,2471;0,7529;1,618;0,5042;1,417;1,098;2,037;0,7026;2,972;0,3012;24,82;24,82;42,16;19,3
Year 2;Storvik;1;Control;7,5;1;0;0;0;0,25;6;70;0,2671;0,7329;1,486;0,7368;1,327;0,7171;1,177;0,8295;1,571;0,3571;6;6;6;6
Year 2;Storvik;1;Milled;5;0,5;0;2;0;0,23;7;68;0,2801;0,7199;1,469;0,6205;1,291;0,8489;1,422;0,7548;1,957;0,3676;7,493;8,971;9,222;8,166
Year 2;Storvik;3;Control;40;0,5;0;0;0;0,25;9;129;0,147;0,853;1,987;0,8105;1,838;0,7924;1,646;0,9044;2,202;0,1938;9,496;9,496;9,721;9,154
Year 2;Storvik;3;Milled;5;1;0;0;19;0,25;6;82;0,2216;0,7784;1,596;0,8218;1,453;0,6626;1,135;0,8905;1,49;0,3049;6;6;7,094;6,231
Year 2;Storvik;4;Control;30;0,5;0;3;0;0,22;6;54;0,3885;0,6115;1,149;0,5256;0,98;0,8165;1,253;0,641;1,727;0,463;8,944;9,653;13,6;9,621
Year 2;Storvik;4;Milled;0;0;19;4;0;0,21;4;31;0,2774;0,7226;1,325;0,9402;1,117;0,7184;0,8736;0,9555;1,223;0,3871;4;4;4;4
Year 2;Storvik;5;Control;1;0,5;0;0;21;0,25;5;36;0,5048;0,4952;1,014;0,5511;0,8151;0,8333;1,116;0,6298;1,577;0,6944;5,972;6,431;7,356;7,09
Year 2;Storvik;5;Milled;0;0;20;10;0;0,15;7;36;0,2587;0,7413;1,572;0,6883;1,272;1,167;1,674;0,808;2,592;0,4167;8,458;11,38;11,27;9,555
Year 2;Storvik;6;Control;10;1;0;0;7;0,25;10;77;0,2355;0,7645;1,728;0,5631;1,502;1,14;2,072;0,7505;3,065;0,3247;10,99;12,71;12,2;12,22
Year 2;Storvik;6;Milled;1,5;0;15;0;9;0,25;6;36;0,1651;0,8349;1,786;0,9945;1,495;1;1,395;0,9969;2,056;0,25;6;6;6;6
Year 2;Storvik;7;Control;1;0;9;7;1;0,18;7;46;0,3681;0,6319;1,329;0,5397;1,094;1,032;1,567;0,6831;2,299;0,5435;7,245;7,652;8,667;8,538
Year 2;Storvik;7;Milled;0;0;22;10;6;0,15;4;18;0,3529;0,6471;1,203;0,8328;0,9067;0,9428;1,038;0,868;1,594;0,5556;4;4,208;4,759;4,394
Year 2;Storvik;8;Control;2,5;0,5;0;6;0;0,19;8;58;0,2317;0,7683;1,717;0,6961;1,475;1,05;1,724;0,8258;2,515;0,3966;8,983;9,457;9,143;8,984
Year 2;Storvik;8;Milled;2,5;0;1;11;2;0,14;8;62;0,2951;0,7049;1,48;0,5489;1,269;1,016;1,696;0,7116;2,445;0,4032;13,9;13,9;16,2;12,94
Year 2;Storvik;9;Control;15;1,5;0;0;2;0,25;6;79;0,2924;0,7076;1,328;0,6287;1,197;0,6751;1,144;0,741;1,509;0,3165;6,494;7,975;9;7,208
Year 2;Storvik;9;Milled;7,5;0,5;0;0;2;0,25;9;105;0,1734;0,8266;1,861;0,7143;1,694;0,8783;1,719;0,8469;2,357;0,2381;11,97;11,97;17,86;10,64
Year 2;Tallåsen;1;Control;5;1;1;0;0;0,25;3;32;0,623;0,377;0,706;0,6753;0,5808;0,5303;0,5771;0,6426;0,8107;0,7813;3;3;3;3
Year 2;Tallåsen;1;Milled;1;0;22;0;0;0,25;8;25;0,1733;0,8267;1,937;0,8672;1,454;1,6;2,175;0,9315;4,068;0,36;9,44;12,62;11,05;9,932
Year 2;Tallåsen;3;Control;2,5;2,5;0;1;0;0,24;2;27;0,7949;0,2051;0,3674;0,722;0,2956;0,3849;0,3034;0,53;0,4988;0,8889;2;2;2;2
Year 2;Tallåsen;3;Milled;0;0;23;22;0;0,03;7;22;0,2035;0,7965;1,801;0,8648;1,332;1,492;1,941;0,9254;3,544;0,4091;7,318;8,191;8,947;7,987
Year 2;Tallåsen;4;Control;2,5;1;0;0;0;0,25;1;25;1;0;0;1;0;0,2;0;;0,2085;1;1;1;1;1
Year 2;Tallåsen;4;Milled;0;0;25;12;0;0,13;4;24;0,5652;0,4348;0,8995;0,6146;0,6796;0,8165;0,944;0,6488;1,371;0,75;4;4;4;4
Year 2;Tallåsen;5;Control;5;2;0;0;0;0,25;2;34;0,5989;0,4011;0,5926;0,9044;0,5228;0,343;0,2836;0,855;0,4643;0,7353;2;2;2;2
Year 2;Tallåsen;5;Milled;0;0;24;5;0;0,2;7;24;0,1775;0,8225;1,872;0,9288;1,422;1,429;1,888;0,962;3,322;0,375;7,479;7,479;7,614;7,214
Year 2;Tallåsen;6;Control;1;0;8;2;0;0,23;3;27;0,5242;0,4758;0,8407;0,7727;0,6903;0,5774;0,6068;0,7653;0,8635;0,7037;3;3;3;3
Year 2;Tallåsen;6;Milled;0;0;25;5;0;0,2;5;29;0,2906;0,7094;1,418;0,8261;1,149;0,9285;1,188;0,8813;1,742;0,4828;5;5;5;5
Year 2;Tallåsen;7;Control;0;0;25;1;0;0,24;3;8;0,3214;0,6786;1,099;1,001;0,7043;1,061;0,9618;1,001;1,743;0,5;3;3,156;3,545;3,426
Year 2;Tallåsen;7;Milled;0;0;25;2;0;0,23;7;28;0,1958;0,8042;1,774;0,8418;1,386;1,323;1,801;0,9115;2,996;0,3214;7,482;9,272;8,563;7,914
Year 2;Tallåsen;8;Control;2,5;1;0;2;0;0,23;6;37;0,4069;0,5931;1,287;0,6037;1,037;0,9864;1,385;0,7183;2,029;0,6216;6,243;6,243;6,455;6,425
Year 2;Tallåsen;8;Milled;0;0;25;3;0;0,22;7;16;0,1667;0,8333;1,909;0,9637;1,307;1,75;2,164;0,981;4,745;0,375;7,938;9,543;10,22;9,145
Year 2;Tallåsen;9;Control;5;2,5;0;1;0;0,24;5;37;0,2778;0,7222;1,417;0,8251;1,194;0,822;1,108;0,8805;1,558;0,4054;5;5;5;5
Year 2;Tallåsen;9;Milled;0;0;22;2;0;0,23;9;32;0,2258;0,7742;1,867;0,7189;1,435;1,591;2,308;0,8498;4,163;0,4375;9,727;10,81;11,74;11,31
